MMSI,NAME,COT,STALE
227809300,FRA - FS MANINI,a-f-S-N-S,900
240201000,GRC - PAN ORAMA II,a-n-S-X-M-P,900
368202290,USA - MAKAE,a-n-S-X-M,900
368355030,USA - BE HAPPY,a-n-S-X-M-P,900
368171820,USA - POLAR SUN,a-n-S-X-M,900
546000280,PYF - PILOT BOAT JW AHNNE,a-n-S-X-M,900
546000200,PYF - AITO NUI,a-n-S-X-M,900
546013570,PYF - AITO NUI II,a-n-S-X-M,900
546018800,PYF - ARANUI 5,a-n-S-X-M,900
546005000,PYF - AREMITI 5,a-n-S-X-M-F,900
546021800,PYF - AREMITI 6,a-n-S-X-M-F,900
546012900,PYF - F/V LADY CHRIS 5,a-n-S-X-F,900
546006800,PYF - F/V RAVA'AI NUI 2,a-n-S-X-F,900
546023900,PYF - LADY CHRIS 9,a-n-S-X-F,900
546023190,PYF - MARAAMU CARDIFF,PYF - MARAAMU CARDIFF,900
546023940,PYF - SAKURA 2,a-n-S-X-M,900
546007510,PYF - SV VAI METUA,a-n-S-X-M,900
546018300,PYF - TAUATI FERRY,a-n-S-X-M-P,900
546023500,PYF - VAEARA'I,a-n-S-X-M-P,900
412420913,CHN - XIN SHI JI 208,a-n-S-X-F,
441251000,KOR - NO.8 KYUNGYANG,a-n-S-X-M,